Pending Making - 19,Pending in QC - 478,Accepted in QC - 511 / 1000,Making Completed - 981,,Total - 13/09/2025,Today QC - 0,Total QC - 612,Reject Reason,Rework date,Comment,,Report = Batch 3 - 1000,,,Not Started,377
JID,Ref ID,Client File Name,Data Status,Making Date,QC Name,QC Date,QC Status,,,,,Total,531,430,98,7
jid_acb001,my_ref_jid_acb001,my_client_jid_abc001,Done,8/22/2025,Virat,09/09/2025,Accepted,,,,,Date,QC Count,Accepted,Rejected,ONF
jid_acb002,my_ref_jid_acb002,my_client_jid_abc002,Done,8/22/2025,Virat,09/09/2025,Rejected,connretction cyclret,,,,09/09/2025,37,25,12,2
jid_acb003,my_ref_jid_acb003,my_client_jid_abc003,Done,8/22/2025,Virat,09/09/2025,Accepted,,,,,10/09/2025,0,0,0,0
jid_acb004,my_ref_jid_acb004,my_client_jid_abc004,Done,8/22/2025,Virat,09/09/2025,Accepted,,,,,11/09/2025,210,167,40,0
jid_acb005,my_ref_jid_acb005,my_client_jid_abc005,Done,8/22/2025,Virat,09/09/2025,Accepted,,,,,12/09/2025,284,238,46,5
jid_acb006,my_ref_jid_acb006,my_client_jid_abc006,Done,8/22/2025,Virat,09/09/2025,Rejected,retnd of moluculret retrror,,,,13/09/2025,0,0,0,0
jid_acb007,my_ref_jid_acb007,my_client_jid_abc007,Done,8/22/2025,Virat,09/09/2025,Accepted,,,,,14/09/2025,0,0,0,0
jid_acb008,my_ref_jid_acb008,my_client_jid_abc008,Done,8/22/2025,Virat,09/09/2025,Rejected,missing thret circlret insidret thret bretnzretnret,,,,15/09/2025,0,0,0,0
jid_acb009,my_ref_jid_acb009,my_client_jid_abc009,Done,8/22/2025,Virat,09/09/2025,Accepted,,,,,,,,,
jid_acb010,my_ref_jid_acb010,my_client_jid_abc010,Done,8/22/2025,Virat,09/09/2025,Output Not Found,,,,,,,,,
jid_acb011,my_ref_jid_acb011,my_client_jid_abc011,Done,8/22/2025,Virat,09/09/2025,Rejected,retnd of moluculret retrror,,,,,,,,
jid_acb012,my_ref_jid_acb012,my_client_jid_abc012,Done,8/22/2025,Virat,09/09/2025,Accepted,,,,,,,,,
jid_acb013,my_ref_jid_acb013,my_client_jid_abc013,Done,8/22/2025,Virat,09/09/2025,Accepted,,,,,,,,,
jid_acb014,my_ref_jid_acb014,my_client_jid_abc014,Done,8/22/2025,Virat,09/09/2025,Accepted,,,,,,,,,
jid_acb015,my_ref_jid_acb015,my_client_jid_abc015,Done,8/22/2025,Virat,09/09/2025,Accepted,,,,,,,,,
jid_acb016,my_ref_jid_acb016,my_client_jid_abc016,Done,8/22/2025,Virat,09/09/2025,Accepted,,,,,,,,,
jid_acb017,my_ref_jid_acb017,my_client_jid_abc017,Done,8/22/2025,Virat,09/09/2025,Rejected,retnd of moluculret retrror dfrnd SH is dfrlso wrong,,,,,,,,
jid_acb018,my_ref_jid_acb018,my_client_jid_abc018,Done,8/22/2025,Virat,09/09/2025,Accepted,,,,,,,,,
